priority_tier,method,est_species_gain,batch,source_key,access_status,citation,url,what_is_locked,status_todo
4,E_RESOLVE_CITATION,,europe,S22,open_via_intermediary,"Zingg, P.E. (1990). Search and hunting signals of echolocating European free-tailed bats, Tadarida teniotis, in southern Switzerland.",https://www.researchgate.net/publication/282295219_Search_calls_of_echo_locating_Nyctalus_leisleri_and_Pipistrellus_savii_Mammalia_Chiroptera_recorded_in_Switzerland,"Retrieved via a co-listed abstract; resolve the primary citation. Gives mean amplitude-maximum frequency, end frequency, duration range and interpulse interval.",TODO
4,E_RESOLVE_CITATION,,europe,S23,open_via_intermediary,"Rydell, J. & Arlettaz, R. (1994). Low-frequency echolocation enables the bat Tadarida teniotis to feed on tympanate insects. Proc. R. Soc. B.",https://www.researchgate.net/publication/15227402_Low-Frequency_Echolocation_Enables_the_Bat_Tadarida_teniotis_to_Feed_on_Tympanate_Insects,FME 11-12 kHz in open space. Also the source for all three European Nyctalus falling below 24 kHz.,TODO
4,E_RESOLVE_CITATION,,europe,S30,open_via_intermediary,"Holderied, M.W. et al. (2005). Echolocation call intensity in the aerial hawking bat Eptesicus bottae studied using stereo videogrammetry. J. Exp. Biol.",https://www.researchgate.net/publication/7953010_Echolocation_call_intensity_in_the_aerial_hawking_bat_Eptesicus_bottae_Vespertilionidae_studied_using_stereo_videogrammetry,"Also carries the E. anatolicus peak frequency of 28 kHz, attributed to von Helversen 1998 and Benda et al. 2012.",TODO
4,E_RESOLVE_CITATION,,europe,S33,open_abstract,"Dietrich, S. et al. (2006). Echolocation signals of the plecotine bat, Plecotus macrobullaris Kuzyakin, 1965. Acta Chiropterologica 8(2):465.",https://bioone.org/journals/acta-chiropterologica/volume-8/issue-2/1733-5329(2006)8%5b465%3aESOTPB%5d2.0.CO%3b2/Echolocation-signals-of-the-plecotine-bat-Plecotus-macrobullaris-Kuzyakin-1965/10.3161/1733-5329(2006)8[465:ESOTPB]2.0.CO;2.short,Swiss Alps. Signal structure strongly dependent on distance to background.,TODO
4,E_RESOLVE_CITATION,,maritimeSEA,S-KINGSTON99,open_abstract,"Kingston T, Jones G, Akbar Z, Kunz TH (1999). Echolocation signal design in Kerivoulinae and Murininae (Chiroptera: Vespertilionidae) from Malaysia. Journal of Zoology 249(3):359-374.",https://zslpublications.onlinelibrary.wiley.com/doi/10.1111/j.1469-7998.1999.tb00771.x,"Peninsular Malaysia. 9 syntopic understorey vespertilionids (4 Kerivoula, 2 Phoniscus, 3 Murina) - all broadband low-intensity FM gleaners. Full text not fetched; abstract-level findings only.",TODO
4,E_RESOLVE_CITATION,,northamerica,S-MOLO,open_via_intermediary,"Jung, K., Molinari, J. & Kalko, E.K.V. (2014). Driving factors for the evolution of species-specific echolocation call design in New World free-tailed bats (Molossidae). PLoS ONE.",https://www.researchgate.net/figure/Spectrograms-and-oscillograms-of-typical-echolocation-calls-emitted-during-search-flight_fig2_259879661,"18 New World molossid species. Source of the frequency-alternation finding for Eumops, Cynomops, Neoplatymops, Molossus and Nyctinomops. Retrieved via a figure page; resolve to the primary.",TODO
4,E_RESOLVE_CITATION,,northamerica,S-BIGBEND,open_abstract,Molecular diet analysis finds an insectivorous desert bat community dominated by resource sharing despite diverse echolocation and foraging strategies. (2019).,https://pubmed.ncbi.nlm.nih.gov/30962885/,Peak frequencies for 17 Big Bend NP species in its Table 1; table not retrieved. Useful cross-check on the SonoBat values for the Texas fauna.,TODO
4,E_RESOLVE_CITATION,,southamerica_amazon_final_fill,S-CARTER,open_via_intermediary,"Carter, G.G. et al. work on vampire bat contact and echolocation calls (Diaemus youngii, Diphylla ecaudata), cited via secondary accounts. Primary citation not fully resolved (likely Carter et al. 2008 Behav Ecol Sociobiol or 2012 PLoS ONE).",https://www.researchgate.net/publication/237154290,FME ~63 kHz for D. youngii echolocation is a real published value but the exact primary source and sample size were not confirmed in the retrievable text.,TODO
5,D_SEARCH_FIRST,379,africa,S-AFR-TOTAL,cited_not_retrieved,"Van Cakenberghe V, Seamark ECJ (2022 edition; 2019 edition cited in earlier search). Africa Chiroptera Report. AfricanBats NPC.",https://www.academia.edu/41472741/AFRICAN_CHIROPTERA_REPORT_2019,"379 species stated across 18 families for the whole African continent (2019 figure; a 2022 edition exists and is more current but was not independently checked). DRC, Kenya, Cameroon and Tanzania each host over 100 species. Described by the newer African bat database paper (S-SSA-DB) as the only other resource with point-locality data for all African bats, but flagged there as containing distributional errors that persist across editions.",TODO
5,D_SEARCH_FIRST,175,maritimeSEA,S-ID-COUNT,cited_not_retrieved,"Mickleburgh SP, Hutson AM, Racey PA (2002). A review of the global conservation status of bats. Oryx 36(1). Corrigenda table cited in multiple sources.",,"175 species stated (2002), with more recent secondary sources describing Indonesia as having 'over 200 bat species' across its 17,000+ islands. No updated authoritative count or dedicated Indonesian echolocation source was located or fetched in this pass - a genuine, large gap given Indonesia is likely the single most speciose country in this entire project.",TODO
5,D_SEARCH_FIRST,119,mainlandSEA,S-TH-CHECKLIST,cited_not_retrieved,"Bumrungsri S et al. (2006), cited in Kingsada et al. 2011: A checklist of bats (Mammalia: Chiroptera) in Thailand.",,"119 species stated (2006); a review search snippet suggested more recent estimates as high as 146. Neither the original checklist nor a dedicated Thai echolocation source (e.g. Hughes et al. 2011's Vespertilionidae/Emballonuridae/Nycteridae/Megadermatidae key, cited within S-VN24's own reference list) was fetched in this pass.",TODO
5,D_SEARCH_FIRST,100,mainlandSEA,S-LA-CHECKLIST,cited_not_retrieved,"Douangboubpha B et al. 2014, cited in multiple sources.",,92-100 species range cited across several secondary sources dated 2011-2014. No dedicated Lao PDR echolocation source identified in this pass.,TODO
5,D_SEARCH_FIRST,99,maritimeSEA,S-BORNEO-TOTAL,cited_not_retrieved,"Phillipps Q, Phillipps K (2016). Phillipps' Field Guide to the Mammals of Borneo, cited within S-MY-BORNEO.",,"99 species stated for the whole of Borneo (Malaysia/Indonesia/Brunei shared island), as of the McArthur & Khan 2021 paper.",TODO
5,D_SEARCH_FIRST,50,africa_madagascar,S-MG-GOODMAN11,cited_not_retrieved,"Goodman SM (2011). Les chauves-souris de Madagascar. Association Vahatra, Antananarivo.",,"The standard Malagasy bat reference, cited as one of the four works used for call-matching in subsequent Malagasy acoustic studies (with Russ & Bennett 2001, Kofoky et al. 2009, Cardiff & Jenkins 2016). NO NAMED MALAGASY SPECIES CHECKLIST WAS OBTAINED in this batch - the ~46-50 species figure commonly cited for Madagascar was not independently verified here.",TODO
5,D_SEARCH_FIRST,33,southamerica_guianas,S-GF-LEBLANC05,cited_not_retrieved,Leblanc F (2005). First elements to recognize Bats of French Guiana by their calls in the field. Le Rhinolophe 17:63-77.,,Earlier French Guiana acoustic work (33 species) that S-GF13 builds on and incorporates. Not fetched; superseded in scope by S-GF13.,TODO
5,D_SEARCH_FIRST,20,eastasia,S-MN-COUNT,cited_not_retrieved,"Ariunbold J (2011). Taxonomic status of the Bats (Chiroptera: Vespertilionidae) in Mongolia. Proceedings of the Institute of Biology 28:220-225 (Mongolian, English abstract).",,"States 20 species in 7 genera of Vespertilionidae alone for Mongolia (15% of the country's mammal fauna). Mongolia's bat fauna is Vespertilionidae-dominated with few other families expected, so this is close to the country total, but not confirmed as such. No echolocation-call source for Mongolia was found in this pass - a genuine, total gap.",TODO
5,D_SEARCH_FIRST,13,eastasia,S-JP-FUNAKOSHI10,cited_not_retrieved,"Funakoshi K (2010). Acoustic identification of thirteen insectivorous bat species from the Kyushu District, Japan. Mammalian Science 50:165-175 (in Japanese with English abstract).",,"Cited via the Korea paper's reference list. 13 species, southern Japan. Written in Japanese; not fetched this pass.",TODO
5,D_SEARCH_FIRST,8,oceania,S-PNG-LP11,cited_not_retrieved,"Leary T, Pennay M (2011). Echolocation calls of eight microchiroptera from Papua New Guinea. In: The Biology and Conservation of Australasian Bats (eds Law B, Eby P, Lunney D, Lumsden L). Royal Zoological Society of New South Wales.",https://meridian.allenpress.com/australian-zoologist/book/670/chapter/12070205/,"Book chapter, abstract only retrieved. 744 reference call sequences, 8 species, confirms PNG's 57 microchiropteran species are poorly known (nearly a third from 5 or fewer localities). Species IDENTITIES were not resolved from the abstract and are NOT asserted in this dataset - a placeholder study-scope record was used instead of fabricating species names. HIGH PRIORITY acquisition target.",TODO
5,D_SEARCH_FIRST,,africa_eastafrica,S-UG11,cited_not_retrieved,"Monadjem A, Rasmussen M, van der Made DC (2011). Echolocation calls and wing morphology of selected bats in western Uganda. Durban Museum Novitates 34:29-34.",https://www.researchgate.net/publication/236667895,"Source of the Doryrhina cyclops CF value (51.4+/-0.5 kHz, n=6) used in this batch via citation in S-KE19. Not independently fetched.",TODO
5,D_SEARCH_FIRST,,africa_eastafrica,S-GS96,cited_not_retrieved,"Guillen-Servent A (1996). Ecolocacion en murcielagos: estudios desde una perspectiva ecologica y evolutiva. PhD thesis, Universidad Complutense de Madrid.",,Unpublished PhD thesis. Source of the Macronycteris CF-vs-forearm-length comparison table (Table 3 in S-KE19) demonstrating that size dimorphism does not produce call-frequency dimorphism in that genus. Reaches this dataset only via reproduction in S-KE19.,TODO
5,D_SEARCH_FIRST,,africa_madagascar,S-MG-FIELDGUIDE,cited_not_retrieved,"Russ J, Bennett D (2001). The Bats of Madagascar: A Field Guide with Descriptions of Echolocation Calls. Viper Press.",https://www.researchgate.net/publication/277559411,"A dedicated field guide WITH echolocation call descriptions and sonograms for Malagasy bats - the island equivalent of the regional call guides that anchored the Australia (NSW) and Southern Africa batches. Search extracts confirm it contains numbered sonograms per species (e.g. Sonogram 10 Triaenops rufus, Sonogram 11 Myotis goudoti) and recordings for at least 14 named taxa including Emballonura atrata, Hipposideros commersoni, Miniopterus gleni, M. majori, M. manavi, Myotis goudoti, Otomops madagascariensis, Rousettus madagascariensis, Scotophilus robustus, Mops jugularis, Chaerephon leucog",TODO
5,D_SEARCH_FIRST,,africa_madagascar,S-MG-HC,cited_not_retrieved,Evidence of Echolocation Call Divergence in Hipposideros commersoni sensu stricto (Madagascar).,,"Confirms sexual dimorphism in echolocation calls for H. commersoni, alongside previously known dimorphism in external and craniodental measurements. Reached only via citation in a search extract; full citation not resolved. Directly comparable to - and opposite in result from - the Macronycteris finding in this project's Kenya batch.",TODO
5,D_SEARCH_FIRST,,africa_madagascar,S-MG-RAMA13,cited_not_retrieved,"Ramasindrazana B, et al. (2013), on intraspecific and interspecific echolocation variation in Malagasy Triaenops and Paratriaenops.",,"Cited alongside Kofoky et al. 2009 as the source of detailed call-variation data for the Malagasy rhinonycterid genera Triaenops and Paratriaenops. Not fetched. Relevant because morphology is stated to be highly similar among Malagasy rhinonycterids, making acoustics the practical identification route for that group.",TODO
5,D_SEARCH_FIRST,,africa_northafrica,S-MA14,cited_not_retrieved,"Disca T, Allegrini B, Prie V (2014). Caracteristiques acoustiques des cris d'echolocation de 16 especes de Chiropteres (Mammalia, Chiroptera) du Maroc. Vespere 3:209-229.",,"THE key North African acoustic reference - 16 Moroccan species, cited repeatedly throughout the Tunisian paper as the comparison standard for Tadarida teniotis, Eptesicus isabellinus, Otonycteris hemprichii and Plecotus gaisleri. Published in the French journal Vespere. NOT FETCHED - would roughly double this batch's species coverage and is the single highest-priority North African target.",TODO
5,D_SEARCH_FIRST,,africa_northafrica,S-TN12,cited_not_retrieved,"Puechmaille S, Hizem WM, Allegrini B, Abiadh A (2012). Bat fauna of Tunisia: review of records and new records, morphometrics and echolocation data. Vespertilio 16:211-239.",,"The Tunisian national review, source of the 21-species country total used as this batch's denominator. Contains echolocation data. Not fetched.",TODO
5,D_SEARCH_FIRST,,africa_northafrica,S-EG20,cited_not_retrieved,"Benda P, Sevcik M (2020). Bats of the Eastern Mediterranean and Middle East. Part 16. Review of the distribution and taxonomy of bats in Egypt. Acta Societatis Zoologicae Bohemicae 84:115-279.",,"Egypt. Part of the same Benda et al. monograph series flagged in the Central Asia/Middle East batch of this project (Part 8 Jordan, Part 11 Libya, Part 6 Sinai all also cited by S-TN23 with echolocation data). This series collectively covers most of North Africa and the Middle East and remains almost entirely unexploited by this project - the largest single untapped body of work identified anywhere in this effort.",TODO
5,D_SEARCH_FIRST,,africa_northafrica,S-LY14,cited_not_retrieved,"Benda P, Spizenberger F, Hanak V, Andreas M, Reiter A, Sevcik M, Smid J, Uhrin M (2014). Bats of the Eastern Mediterranean and Middle East. Part 11. On the bat fauna of Libya II. Acta Soc. Zool. Bohem. 78:1-162.",,Libya. Same series as S-EG20. Not fetched.,TODO
5,D_SEARCH_FIRST,,africa,S-ZM25,cited_not_retrieved,"Taylor-Boyd H, Fuentes-Montemayor E, Monadjem A, et al. (2025). Acoustic parameters of bat echolocation calls in Zambia: a collaborative effort to develop a call library for non-invasive research and monitoring. Acta Chiropterologica 27(1):111-124.",https://repository.up.ac.za/items/d6ab4ea4-4914-4d16-9bd2-a785285d5567,"Very recent (2025), hosted on an open institutional repository. Not fetched this pass - a clear, high-priority next target, likely to extend this batch's geographic coverage from Swaziland/South Africa into south-central Africa (Zambia).",TODO
5,D_SEARCH_FIRST,,africa,S-SZ-RHINO07,cited_not_retrieved,"Monadjem A, Reside A, Lumsden L (2007). Echolocation calls of rhinolophid and hipposiderid bats in Swaziland. South African Journal of Wildlife Research 37:9-15.",,"Earlier, more detailed rhinolophid/hipposiderid-specific study by an overlapping author team; superseded in part by S-SZ17 but likely contains additional detail (e.g. per-population variation) not in the later paper. Not fetched this pass.",TODO
5,D_SEARCH_FIRST,,africa,S-ZA-TAYLOR99,cited_not_retrieved,Taylor PJ (1999). Echolocation calls of twenty southern African bat species. South African Journal of Zoology.,https://www.tandfonline.com/doi/pdf/10.1080/02541858.1999.11448496,"The earliest dedicated southern African call library (recordings 1997-1998, KwaZulu-Natal and Western Cape). Explicitly cited by S-SZ17 as one of only two prior southern African call libraries. Not fetched this pass - full text access via tandfonline was not attempted after the Swaziland paper already supplied a full, richer quantitative table for a similar set of species.",TODO
5,D_SEARCH_FIRST,,africa_westcentral,S-NG21,cited_not_retrieved,"Tanshi I, Obitte BC, Monadjem A, Kingston T (2021). Hidden Afrotropical bat diversity in Nigeria: ten new country records from a biodiversity hotspot. Acta Chiropterologica 23:313-343.",,NOT INDEPENDENTLY FETCHED. The single Hipposideros cf. ruber value in this batch reaches the dataset only via citation inside the Mount Nimba table extract. This paper reports ten new country records for Nigeria and is likely to contain substantially more West African acoustic data than the one value captured here - a clear high-priority target.,TODO
5,D_SEARCH_FIRST,,africa_westcentral,S-WA-ROSEVEAR65,cited_not_retrieved,"Rosevear DR (1965). The bats of West Africa. Trustees of the British Museum (Natural History), London, xvii + 418 pp.",,"The classic West African bat monograph, cited by S-CM18 as an identification reference. Sixty years old and pre-dates essentially all acoustic work and most modern taxonomic revisions; listed for completeness only. NO MODERN WEST AFRICAN SPECIES CHECKLIST was obtained in this batch.",TODO
5,D_SEARCH_FIRST,,africa_westcentral,S-GW-RAINHO17,cited_not_retrieved,"Rainho A, Palmeirim JM (2017) and references therein, on the bats of Guinea-Bissau.",,"Cited within other African sources in this project as the basis for acoustic identification in Guinea-Bissau, including a reference call library of hand-released bats built in a parallel mist-netting study. Not fetched; would extend West African coverage into the Upper Guinean coastal zone.",TODO
5,D_SEARCH_FIRST,,africa_zambia,S-ZM-KEARNEY10,cited_not_retrieved,"Kearney TC, Seamark ECJ, Mateke C, Hood D (2010). Chiroptera of Lufupa camp, Kafue National Park, Zambia. African Bat Conservation News 23:7-31.",,"Earlier Zambian acoustic work, cited within S-ZM25 as the comparison point that revealed the large Vansonia rueppellii discrepancy. Not independently fetched.",TODO
5,D_SEARCH_FIRST,,camena,S-HOLD05,cited_not_retrieved,"Holderied MW, Korine C, Fenton MB, Parsons S, Robson S, Jones G (2005). Echolocation call intensity in the aerial hawking bat Eptesicus bottae (Vespertilionidae) studied using stereo videogrammetry. J. Exp. Biol. 208:1321-1327.",,"Same source already used in this project's South America batch-1 (there cited as S30, describing the same species' loudest recorded call at 133 dB peSPL). Here cross-referenced into the Middle East, its actual home region, for the first time - Eptesicus bottae's core range is Israel/Jordan/Arabia/Iran, and the earlier citation of this species arose only because a related paper (E. anatolicus taxonomy) mentioned it. A useful illustration of how the same primary measurement can surface in a project structured by continent, attached to the wrong one at first, and only later correctly located.",TODO
5,D_SEARCH_FIRST,,camena,S-CENASIA-GAP,not_found,"No dedicated Central Asian (Kazakhstan, Uzbekistan, Turkmenistan, Kyrgyzstan, Tajikistan) echolocation call source was located in this pass.",,"Real taxonomic/distributional work exists for the region - e.g. Benda et al.'s ongoing 'Eastern Mediterranean and Middle East' monograph series explicitly includes a Transcaucasia/West Turkestan volume (Part 9), and active work continues on species like Otonycteris leucophaea and the Eptesicus gobiensis complex (a 2021 paper on a mummified specimen from an Iranian salt mine references live Kazakhstani populations) - but no acoustic call description or identification key for any Central Asian country was found. This is a genuine, total gap for the whole sub-region, not a search failure specific",TODO
5,D_SEARCH_FIRST,,caribbean,S-CU-PHFA,cited_not_retrieved,Echolocation behaviour of Phyllops falcatus (Chiroptera: Phyllostomidae): Unusual frequency range of the first harmonic. Author(s) and exact journal/year NOT independently confirmed in this pass (ResearchGate listing only).,https://www.researchgate.net/publication/232688803,"Title and one-paragraph abstract fragment confirmed via search; full citation metadata (author names, journal, year, volume) was NOT resolved. A third Cuban phyllostomid exception to typical multiharmonic calling, alongside P. poeyi and (per that paper) Centurio senex. HIGH PRIORITY to properly resolve and fetch.",TODO
5,D_SEARCH_FIRST,,caribbean,S-BH-EXUMA,cited_not_retrieved,"'Characterization of the Echolocation Calls of Bats from Exuma, Bahamas.' Acta Chiropterologica. Full author list, volume and year NOT resolved in this pass - ResearchGate publication ID 233685504 confirmed but metadata incomplete.",https://www.researchgate.net/publication/233685504_Characterization_of_the_Echolocation_Calls_of_Bats_from_Exuma_Bahamas,"CITATION INCOMPLETE - flagged explicitly rather than guessed. Confirmed content: a Table 1 with mean+/-SE and coefficient of variation for 7 parameters (Duration, IPI, Duty Cycle, FME, FMax, FMin, Bandwidth), reported per harmonic. Confirms an inter-island Erophylla sezekorni (Bahamas) vs E. bombifrons (Hispaniola/Puerto Rico) frequency difference of 'several kHz'. Exact numeric cells were not present in the retrieved search-result text (truncated at column headers). Resolving the full citation and fetching the PDF is a clear next step.",TODO
5,D_SEARCH_FIRST,,eastasia,S-JP-COUNT,cited_not_retrieved,"Ohdachi SD, Ishibashi Y, Iwasa MA, Fukui D, Saitoh T (eds., 2015). The Wild Mammals of Japan, 2nd edition.",,Cited as the standard Japanese mammal reference across multiple sources in this batch. Exact current bat species count for Japan was not independently confirmed in this pass.,TODO
5,D_SEARCH_FIRST,,eastasia,S-TW-COUNT,not_found,No dedicated source located this pass.,,"Taiwan has active bat bioacoustic research (Hipposideros terasensis Doppler-shift-compensation studies by Hiryu et al., cited in both the Korea and China reviews; National Taiwan Normal University co-authors on the Vietnam batch's flagship paper), but no country-level checklist or dedicated call-identification key was searched for or found in this pass - a clear gap.",TODO
5,D_SEARCH_FIRST,,mainlandSEA,S-KH-CHECKLIST,cited_not_retrieved,"Multiple sources: Kingsada et al. 2011 (50 spp); Furey unpublished (66-80 spp); most recent revised checklist (Mendenhall et al., cited via a 2014-2020 field survey abstract) implies ~80+ spp with acoustic data now used routinely in Cambodian surveys.",,"Phauk, Sarith & Furey 2013 ('Cambodian bat echolocation: a first description of assemblage call parameters', Cambodian J. Nat. Hist. 2013:16-26) is a dedicated Cambodian acoustic source, cited within S-VN24's own bibliography, but was NOT independently fetched in this pass - flagged as a clear next acquisition target.",TODO
5,D_SEARCH_FIRST,,maritimeSEA,S-PH-COUNT,cited_not_retrieved,Multiple sources: a 2002 Oryx corrigenda cites 70 species; a 2025 news report states the description count has risen to 79 species (a mix of endemics and shared taxa).,,"No dedicated Philippine echolocation-call source was identified or fetched in this pass, despite the country's exceptionally high bat endemism (the Murina radiation alone added 5 new Philippine-endemic species in a paper found earlier in this project's search history). A clear priority for a rerun.",TODO
5,D_SEARCH_FIRST,,oceania,S-PNG-PHIM,cited_not_retrieved,"A Range Extension and First Voucher Echolocation Call for the New Guinea Big-eared Bat, Pharotis imogene (Chiroptera: Vespertilionidae). Full author list, journal and year NOT resolved in this pass (academia.edu hosting only).",https://www.academia.edu/164966121/,"CITATION INCOMPLETE - flagged explicitly. Confirms first-ever description of Pharotis imogene's call (one of the world's least-known mammals, previously confirmed from only 2 localities; this capture extended the range >130 km) and gives incidental characteristic-frequency values for sympatric Aselliscus tricuspidatus (112-113 kHz) and Hipposideros cervinus (136.5-138 kHz) from mainland PNG. Text was truncated mid-value for at least one further Hipposideros species. Resolving the full citation and fetching the complete PDF is a clear next step.",TODO
5,D_SEARCH_FIRST,,southamerica_amazon,S-BDFFP,cited_not_retrieved,"Lopez-Baucells, A., Rocha, R., Bobrowiec, P., Bernard, E., Palmeirim, J. & Meyer, C. (2016). Field Guide to Amazonian Bats. INPA, Manaus.",,Cited as the source for '84 known phyllostomid species' in the Central Brazilian Amazon specifically (narrower than the whole-Brazil figure). Not retrieved directly.,TODO
5,D_SEARCH_FIRST,,southamerica_guianas,S-GF-CATZEFLIS13,cited_not_retrieved,"Catzeflis F, Dewynter M, Pineau K (2013). Liste taxonomique commentee des chiropteres de Guyane. Le Rhinolophe 19:89-102.",,"The companion taxonomic checklist published in the same journal issue, and the source of the 103-species figure for French Guiana used as this batch's denominator. Not independently fetched, but its species list is fully reproduced as Table 1 of S-GF13, which WAS fetched - so the denominator is verified at one remove.",TODO
5,D_SEARCH_FIRST,,southamerica_guianas,S-VE-OCHOA00,cited_not_retrieved,"Ochoa J, O'Farrell MJ, Miller BW (2000). Contribution of acoustic methods to the study of insectivorous bat diversity in protected areas from northern Venezuela. Acta Chiropterologica 2(2):171-183.",,"THE Venezuela source, identified early in this project and never fetched. Venezuela has ~174 bat species (per this project's earlier country-count work) and contributes NOTHING to this batch. Remains the single clearest gap for the Guianas+Venezuela region.",TODO
5,D_SEARCH_FIRST,,southamerica_guianas,S-GY-SR,not_found,No dedicated acoustic source was located for Guyana or Suriname in this pass.,,"Guyana and Suriname were searched for only indirectly. Borisenko et al. 2008 (DNA barcoding survey in Suriname) and Clare et al. 2006 (DNA barcoding in Guyana) are both cited within S-GF13 as sources of cryptic-species discoveries relevant to the region, but neither is an acoustic study. GENUINE GAP.",TODO
5,D_SEARCH_FIRST,,southamerica_southerncone,S-AR-BIOAC25,cited_not_retrieved,"Gonzalez Noschese CS, Olmedo ML, Perez MJ, Diaz MM (2025). First characterisation of bat echolocation calls in Argentina. Bioacoustics 1-21. doi:10.1080/09524622.2025.2517557",https://doi.org/10.1080/09524622.2025.2517557,"A SECOND 2025 Argentine paper by the same group, distinct from S-AR25. Search extract indicates it covers Myotis riparius, Lasiurus blossevillii (FM with QCF ending), Molossus molossus, Tadarida brasiliensis, Promops centralis (CF and QCF) and Saccopteryx bilineata (QCF), and states the species covered represent ~37% of the species reported for Misiones province. Also incorporates unpublished Histiotus montanus and Promops nasutus records. NOT FETCHED - high priority, likely the most species-rich single Argentine source.",TODO
5,D_SEARCH_FIRST,,southamerica_southerncone,S-AR-GUIDE20,cited_not_retrieved,"Barquez RM, Diaz MM (2020). Nueva guia de los murcielagos de Argentina. PCMA Special Publication No 3, San Miguel de Tucuman.",,"The standard current Argentine bat guide. NO NAMED ARGENTINE SPECIES CHECKLIST was obtained in this batch, so no coverage percentage is claimed. Sandoval et al. 2021 (Mastozoologia Neotropical 28:1-20) covers Argentine bat species richness and biogeographic patterns and was also not fetched.",TODO
5,D_SEARCH_FIRST,,southamerica_southerncone,S-CL-TAMARUGAL,cited_not_retrieved,"Study of Chiroptera in Reserva Nacional Pampa del Tamarugal, Chile (Spanish-language, source not fully resolved).",,"Search extract indicates acoustic AND morphological characterisation of four species: Myotis atacamensis, Histiotus montanus, H. macrotus and H. laephotis. States that Histiotus body measurements were homogeneous between species while acoustic characters WERE identified for all four - i.e. acoustics separating what morphometrics could not, the same pattern found at Mount Nimba in the West Africa batch. Not fetched; citation not fully resolved.",TODO
